"id","name","lon","lat","type"
8508854,"Stöckalp",8.27923,46.80242,"Bus"
8507275,"Stöckli",7.38839,46.51681,"Zug"
8500278,"Stöfeli (Mittelstation)",9.31359,47.17221,"Kabinenbahn"
8531193,"Stössi (Mörlialp)",8.10915,46.82063,"Sesselbahn"
8578003,"Stüsslingen, Burengasse",7.97348,47.3926,"Bus"
8577998,"Stüsslingen, Garage",7.96758,47.38685,"Bus"
8578000,"Stüsslingen, Jura",7.97065,47.39305,"Bus"
8577999,"Stüsslingen, Kreuz",7.97028,47.38881,"Bus"
8578004,"Stüsslingen, Muggenloch",7.98204,47.39559,"Bus"
8578001,"Stüsslingen, Mühle",7.96815,47.39725,"Bus"
8594066,"Suberg, Kosthofen",7.34347,47.05309,"Bus"
8504413,"Suberg-Grossaffoltern",7.33901,47.05878,"Zug"
8588320,"Suberg-Grossaffoltern, Bahnhof",7.33893,47.05898,"Bus"
8578115,"Subingen, Bahnhof",7.61218,47.19317,"Bus"
8578114,"Subingen, Dorf",7.61337,47.19597,"Bus"
8589957,"Subingen, Kirche",7.61959,47.19485,"Bus"
8589532,"Subingen, Schulzentrum",7.6168,47.18878,"Bus"
8579733,"Suchy, Grande Salle",6.60105,46.72479,"Bus"
8579734,"Suchy, village",6.59886,46.72268,"Bus"
8581101,"Suen, Les Grands Praz",7.43662,46.18402,"Bus"
8580460,"Suen, Sud",7.43817,46.18012,"Bus"
8570932,"Suen, centre",7.43628,46.18176,"Bus"
8509888,"Sufers, Underem Dorf",9.36812,46.56912,"Bus"
8504188,"Sugiez",7.11935,46.96413,"Zug"
8504572,"Sugiez (bateau)",7.11425,46.96414,"Schiff"
8570533,"Sugiez, Nant",7.10648,46.95684,"Bus"
8570531,"Sugiez, gare",7.11935,46.96421,"Bus"
8504537,"Sugiez, poste",7.11277,46.96172,"Bus"
8501175,"Sugnens",6.66576,46.65486,"Zug"
8510736,"Sugnens, gare",6.66649,46.6553,"Bus"
8583231,"Sugnens, village",6.67161,46.65503,"Bus"
8502103,"Suhr",8.08229,47.37163,"Zug"
8590281,"Suhr, Bahnhof",8.08189,47.37158,"Bus"
8590282,"Suhr, Bühlstrasse",8.06986,47.38422,"Bus"
8590283,"Suhr, Feld",8.06691,47.38343,"Bus"
8590284,"Suhr, Fliederweg",8.06285,47.3849,"Bus"
8594392,"Suhr, Gemeindehaus",8.07957,47.37407,"Bus"
8590285,"Suhr, Grillenweg",8.0777,47.37899,"Bus"
8590286,"Suhr, Lindenfeld",8.06335,47.38695,"Bus"
8590287,"Suhr, Mattenweg",8.07971,47.37709,"Bus"
8594393,"Suhr, Schweizerhof",8.076,47.3789,"Bus"
8590289,"Suhr, Waldhofweg",8.07299,47.38147,"Bus"
8506217,"Sulgen",9.18369,47.5388,"Zug"
8573425,"Sulgen, Bahnhof",9.18401,47.53889,"Bus"
8570068,"Sullens, Auberge",6.56592,46.59367,"Bus"
8530337,"Sulwald",7.88807,46.62341,"Kabinenbahn"
8500589,"Sulz AG, Bütz",8.09858,47.54009,"Bus"
8572438,"Sulz AG, Leidikon",8.09243,47.54747,"Bus"
8580575,"Sulz AG, Milchhüsli",8.09578,47.53484,"Bus"
8572439,"Sulz AG, Mitteldorf",8.09544,47.53273,"Bus"
8581108,"Sulz AG, Roos",8.09686,47.54349,"Bus"
8503263,"Sulzbach",8.74511,47.32819,"Bus"
8587246,"Sumiswald, Arch",7.74773,47.02948,"Bus"
8593274,"Sumiswald, Dorfgasse",7.74363,47.02952,"Bus"
8508283,"Sumiswald, Ey",7.75574,47.02814,"Bus"
8508282,"Sumiswald, Forum",7.75929,47.03078,"Bus"
8593272,"Sumiswald, Gammenthal",7.73831,47.03522,"Bus"
8593273,"Sumiswald, Griesbach",7.74175,47.04303,"Bus"
8587350,"Sumiswald, Mauer",7.76446,47.03756,"Bus"
8587245,"Sumiswald, Post",7.74391,47.0281,"Bus"
8508272,"Sumiswald-Grünen",7.73716,47.02544,"Zug"
8587244,"Sumiswald-Grünen, Bahnhof",7.73678,47.02508,"Bus"
8574593,"Summaprada, Abzw. Hotel Reich",9.43371,46.71341,"Bus"
8581649,"Summaprada, Dorf",9.43332,46.71446,"Bus"
8574594,"Summaprada, Schauenberg",9.43021,46.71196,"Bus"
8589101,"Sumvitg, Dorf",8.93921,46.72803,"Bus"
8589103,"Sumvitg, Val",8.953,46.7067,"Bus"
8586221,"Sumvitg, spv S. Benedetg",8.93625,46.72716,"Bus"
8590398,"Sumvitg-C., Bahnhof/Camping",8.92871,46.72452,"Bus"
8509178,"Sumvitg-Cumpadials",8.93102,46.72406,"Zug"
8576883,"Sundlauenen, Balmholz",7.77571,46.68296,"Bus"
